pdf_id,g3-flash-preview think__id,g3-flash-preview think__name_en,g3-flash-preview think__name_ml,g3-flash-preview think__cost,g3-flash-preview think__n_raw,g3-flash-preview think__has_json,g3-flash-preview think__usd,g3-flash-preview think__out_tok,g3-flash-preview nothink__id,g3-flash-preview nothink__name_en,g3-flash-preview nothink__name_ml,g3-flash-preview nothink__cost,g3-flash-preview nothink__n_raw,g3-flash-preview nothink__has_json,g3-flash-preview nothink__usd,g3-flash-preview nothink__out_tok,g2.5-flash v2__id,g2.5-flash v2__name_en,g2.5-flash v2__name_ml,g2.5-flash v2__cost,g2.5-flash v2__n_raw,g2.5-flash v2__has_json,g2.5-flash v2__usd,g2.5-flash v2__out_tok,g3.1-flash-lite v2__id,g3.1-flash-lite v2__name_en,g3.1-flash-lite v2__name_ml,g3.1-flash-lite v2__cost,g3.1-flash-lite v2__n_raw,g3.1-flash-lite v2__has_json,g3.1-flash-lite v2__usd,g3.1-flash-lite v2__out_tok
1217429b-088b-445d-a120-efe576e9c351,,,,,3,False,0.029257,7570,,"Computer, Laptop for Block Panchayath",,70850.0,3,True,0.011047,1500,S0138/17,"Computer, Laptop for Block Panchayath",ബ്ലോക്ക് പഞ്ചായത്തിന് കംന്പ്യൂട്ടർ ലാപ്പ് ടോപ്പ്,70850.0,1,True,0.010505,1138,S0138/17,"Computer , Laptop for Block Panchayath",ബ്ലോക്ക് പഞ്ചായത്തിന് കമ്പ്യൂട്ടർ ലാപ് ടോപ്പ്,70850.0,1,True,0.006538,1127
1360b66a-7efd-48da-8056-46aa9af16717,,,,,3,False,0.030357,8477,,Solar Battery AMC,,50000.0,4,True,0.00915,1408,,Solar Battery AMC,സോളാർ ബാറ്ററി എ എം സി,50000.0,1,True,0.008446,1080,S0618/21,Solar Battery AMC,സോളാർ ബാറ്ററി എഎം സി,50000.0,1,True,0.004707,714
1906f0cb-d66a-46dd-8e60-612a8604a290,,,,,5,False,0.057578,15926,,construction of play ground,,3000000.0,6,True,0.018755,2985,S1286/23,construction of play ground,കളിസ്ഥലം സജ്ജമാക്കൽ,3000000.0,1,True,0.01669,2078,S1286/23,construction of play ground,കളിസ്ഥലം സജ്ജമാക്കൽ,3000000.0,1,True,0.009309,1356
1e34f20c-ba5d-411d-900a-c7da3e42884f,,,,,3,False,0.023253,6109,,Tharamuttam Sagha Road Concreting,,150000.0,3,True,0.00849,1188,,Tharamuttam Sagha Road Concreting,തറമുറ്റം ശാഖ റോഡ് കോൺക്രീറ്റിംഗ്,150000.0,1,True,0.008221,990,S0070/22,Tharamuttam Sagha Road Concreting,തരംഗം ശാഖ റോഡ് കോൺക്രീറ്റിംഗ്,150000.0,1,True,0.004898,841
22b34271-587b-4bc3-9246-90bf53a44ad6,,,,,3,False,0.037336,10263,,PMAY Fund Allotment -(General),,,3,True,0.01147,1641,9,PMAY Fund Allotment -(General),പിഎംഎവൈ നഗരസഭ വിഹിതം നൽകൽ-(ജനറൽ),23383833.0,1,True,0.010795,1254,S0009/21,PMAY Fund Allotment -(General),പിഎംഎവൈ നഗരസഭ വിഹിതം നൽകൽ-(ജനറൽ),233838333.0,1,True,0.006227,920
244c4b59-ad35-41f2-b697-d03673096dd1,,,,,3,False,0.03421,9221,,,പദ്ധതിരൂപീകരണം (Project Implimentation),0.0,4,True,0.011845,1766,S0224/14,Project Implimentation,പദ്ധതിനിർവ്വഹണം,0.0,1,True,0.010817,1263,S0224/14,Project Implimentation,പദ്ധതിരൂപണം,360000.0,1,True,0.0058,635
30034abd-d9e4-48d8-8549-c5e70a7e1596,,,,,3,False,0.024657,6577,,Vazhottupady thusharappady road concreting ward 15,,100795.0,3,True,0.008484,1186,S0156/19,Vazhottupady thusharaopady road concreting ward 15,വാഴോട്ടപടി തുഷാരപടി റോഡ് കോൺക്രീറ്റിംഗ് വാർഡ് 15,100795.0,1,True,0.008941,1278,S0156/19,Vazhottupady thusharappady road concreting ward 15,വാഴോട്ടുപടി തൃശ്ശാരപ്പടി റോഡ് കോൺക്രീറ്റിംഗ് വാർഡ് 15,100795.0,1,True,0.004761,750
3955679f-bd0e-4ccf-8d24-1de69597a777,,,,,6,False,0.055128,15110,,AALAMARAM PATTANMAKKAL ROAD CONCRETE,,800000.0,5,True,0.018579,2927,S0184/22,AALAMARAM PATTANMAKKAL ROAD CONCRETE,ആലാംമരം പട്ടണക്കൽ റോഡ് കോൺക്രീറ്റ്,800000.0,1,True,0.016296,1921,S0184/22,AALAMARAM PATTANMAKKAL ROAD CONCRETE,ആലാമരം-പട്ടണക്കൽ റോഡ് കോൺക്രീറ്റ്,800000.0,1,True,0.009656,1588
3beb06c1-f94e-4910-90e7-31a313527e26,,,,,3,False,0.026403,7159,,Kottarakkara BP 2020-21 Mnakkod kulam renovation work,,232683.0,4,True,0.00951,1528,S0178/21,Kottarakkara BP 2020-21 Mnakkod kulam renovation work,മാക്കോട് കുളം പുനരുദ്ധാരണം,232683.0,1,True,0.005957,851,S0178/21,Kottarakkara BP 2020-21 Mnakkod kulam renovation work,മണക്കോട് കുളം പുനരുദ്ധാരണം,232683.0,1,True,0.004752,744
3e902f3c-4a35-47fd-b51d-178a55c87469,,,,,6,False,0.232329,74177,,PURCHASE OF CONTAINER MCF,,500000.0,5,True,0.018294,2832,S0414/25,PURCHASE OF CONTAINER MCF,കയർ യൂണിറ്റ്,500000.0,1,True,0.015854,1744,S0414/25,PURCHASE OF CONTAINER MCF,കണ്ടെയ്നർ എംസിഎഫ്,500000.0,1,True,0.010237,1975
3feaa81d-0d22-4695-8d37-30d937f704bf,,,,,3,False,0.035629,9694,,PANNYOTTU KANAL - KILACHA PARAMBU WATER TANK ROAD TARRING,,485000.0,5,True,0.011584,1679,S0099/19,PANNYOTTU KANAL - KILACHA PARAMBU WATER TANK ROAD TARRING,പന്നോട്ട് കനാൽ കിളച്ചപറമ്പ് വാട്ടർ ടാങ്ക് റോറോഡ് ടാറിംഗ്,485000.0,1,True,0.011415,1502,S0099/19,PANNYOTTU KANAL - KILACHA PARAMBU WATER TANK ROAD TARRING,പന്ന്യോട്ട് കനാൽ കിലച്ചപറമ്പ് വാട്ടർ ടാങ്ക് റോഡ് ടാറിംഗ്,485000.0,1,True,0.006566,1146
426ab955-53b2-40f4-b6c4-b1b99ed3b08b,,,,,4,False,0.056205,15469,,Aryankad Road Concrete,,100000.0,6,True,0.017751,2651,S0054/21,Aryankad Road Concrete,ആര്യങ്കാട് റോഡ് കോൺക്രീറ്റ്,100000.0,1,True,0.016531,2015,S0054/21,Aryankad Road Concrete,ആര്യങ്കാട് റോഡ് കോൺക്രീറ്റ്,100000.0,1,True,0.009572,1532
43a6f5e3-b4b7-4945-8cfd-819513b06704,,,,,3,False,0.039904,11119,,payment of electricity water wifi connection charge of anganwadies and transferred institutions,,200000.0,4,True,0.011956,1803,S0022/24,payment of electricity water wifi connection charge of anganwadies and transferred institutions,അങ്കണവാടികളിലെ കറൻ്റ് വെള്ളം വൈഫൈ കണക്ഷൻ ചാർജ് നൽകൽ,200000.0,1,True,0.010242,1033,S0022/24,payment of electricity water wifi connection charge of anganwadies and transferred institutions,"അങ്കണവാടികളിലെ വിദ്യുച്ഛക്തി വാട്ടർ കണക്ഷൻ, കറന്റ് ബില്ല്, ഫോൺ ചാർജ് എന്നിവ ബിൽ പ്രകാരം ഉള്ള തുക നൽകുന്ന",200000.0,1,True,0.006686,1226
43af34aa-0af3-4f6c-8ed8-d1155d69626b,,,,,7,False,0.058877,16359,,purchase of Medicine to CHC KUMBALA,,300000.0,6,True,0.017674,2625,S0084/21,purchase of Medicine to CHC KUMBALA,കുമ്പള സി സി എച്ച് സി ക്ക് മരുന്നു,300000.0,1,True,0.015925,1772,S0084/21,purchase of Medicine to CHC KUMBALA,കമ്പള സി എച്ച് സി മരുന്ന്,300000.0,1,True,0.008993,1145
4cb422c4-ca49-45a9-bdf4-e13eed3d1ee9,,,,,3,False,0.025128,6734,,Construction of St Mary's School Kanjipura,,1000000.0,3,True,0.025116,6730,,സെന്റ് മേരീസ് സ്കൂൾ കഞ്ഞിപ്പര നിർമ്മാണം,,1000000.0,1,True,0.50348,197562,S0873/22,Construction of St Mary's School Kanjipura,സെന്റ് മേരീസ് സ്കൂൾ കഞ്ഞിപുര നിർമ്മാണം,1000000.0,1,True,0.004785,766
4d458902-b1f1-456c-81dc-c1b9045ee446,,,,,3,False,0.042274,11909,,PURCHASE OF MEDICINES FOR P H C s,,1500000.0,3,True,0.011824,1759,S0014/23,PURCHASE OF MEDICINES FOR PHCs,കണ്ണൂർ കോർപറേഷൻ പരിധിയിൽ ഉള്ള പി എച് സി കളിലേക്ക് മരുന്ന് വാങ്ങൽ,1500000.0,1,True,0.010862,1281,S0014/23,PURCHASE OF MEDICINES FOR PHCs,കണ്ണൂർ കോർപ്പറേഷൻ പരിധിയിൽ ഉള്ള പി എച്ച് സി കളിലേക്ക് മരുന്ന് വാങ്ങൽ,1500000.0,1,True,0.006029,788
4d56777c-1ccd-4612-92c2-173e8312ba37,,,,,8,False,0.061534,17244,,S C WOMEN CATERING UNIT,,,11,True,0.019919,3372,S0513/19,S C WOMEN CATERING UNIT,എസ്സ്.സി വനിത ക്യാറ്ററിംഗ് യൂണിറ്റ്,800000.0,1,True,0.016412,1966,S0513/19,S C WOMEN CATERING UNIT,എസ്.സി വനിത കാറ്ററിംഗ് യൂണിറ്റ്,800000.0,1,True,0.009358,1388
4e7576c6-0111-4246-b268-d00288317711,,,,,4,False,0.067563,19255,,CONSTRUCTION OF PAZHAMPILLICHAL COMMUNITY HALL WELL WARD1,,325000.0,5,True,0.018126,2776,S0109/25,CONSTRUCTION OF PAZHAMPILLICHAL COMMUNITY HALL WELL WARD1,പഴമ്പിള്ളിച്ചാല് കമ്മ്യൂണിറ്റി ഹാള് കിണർ നിർമ്മാണം വാർഡ് 1,325000.0,1,True,0.016784,2116,S0109/25,CONSTRUCTION OF PAZHAMPILLICHAL COMMUNITY HALL WELL WARD1,പഴമ്പിള്ളിച്ചാൽ കമ്മ്യൂണിറ്റി ഹാൾ കിണർ നിർമ്മാണം വാർഡ് 1,325000.0,1,True,0.009668,1596
50c203c7-8517-48b6-b049-68c94e994383,,,,,3,False,0.035706,10260,,Chittezhath Thottarath Road Mettalling,,,5,True,0.022281,5785,S0035/16,Chittezhath Thottarath Road Mettalling,ചിറ്റേഴത്ത് തോട്ടാരത്ത് റോഡ് മെറ്റലിംഗ്,300000.0,1,True,0.008921,1270,S0035/16,Chittezhath Thottarath Road Metalling,ചിറ്റേഴത്ത് തോട്ടറത്ത് റോഡ് മെറ്റലിംഗ്,300000.0,1,True,0.004437,534
50c446aa-864a-41c1-b999-09c66108b67d,,,,,5,False,0.055446,15215,,VETERINARY DISPENSARY PAINTING AND MAINTANANCE,,270676.0,8,True,0.019125,3108,S0282/25,VETERINARY DISPENSARY PAINTING AND MAINTANANCE,വെറ്റിനറി ഡിസ് പെൻസറി പെയിൻ്റിംഗ് മെയിൻറനൻസ്,270676.0,1,True,0.013791,1685,S0282/25,VETERINARY DISPENSARY PAINTING AND MAINTANANCE,വെറ്ററിനറി ഡിസ്പെൻസറി പെയിന്റിംഗ് മെയിന്റനൻസ്,270676.0,1,True,0.00953,1503
53151355-7822-4f7a-8029-68c32c1a8db7,,,,,3,False,0.021921,5665,,Cherussery Kurissupalli mele Kodakkattuppara road completion,,490000.0,3,True,0.00894,1338,S0191/22,Cherussery Kurissupalli mele Kodakkattuppara road completion,ചെറുശ്ശേരി കുരിശ്ശുപളളി മേലെകൊടക്കാട്ടപ്പാറ റാഡ് പൂർത്തീകരണം,490000.0,1,True,0.008748,1201,S0191/22,Cherussery Kurissupalli mele Kodakkattuppara road completion,ചെറുശ്ശേരി കുരിസുപ്പള്ളി മേലെ കോടക്കാട്ടുപാറ റോഡ് പൂർത്തീകരണം,490000.0,1,True,0.004685,699
55c16b11-afb8-4ae6-9bd7-59984fbb4cf2,,,,,3,False,0.034546,9333,,Grand to Mentally Disabled,,600000.0,3,True,0.011182,1545,S0003/14,Grand to Mentally Disabled,ശാരീരിക മാനസിക വെല്ലുവിളികൾ നേരിടുന്നവർക്ക് സഹായം,600000.0,1,True,0.01079,1252,S0003/14,Grand to Mentally Disabled,ശാരീരിക മാനസിക വെല്ലുവിളികൾ നേരിടുന്നവർക്ക് ആശ്വാസ സഹായം,600000.0,1,True,0.006625,1185
5e7eee20-c566-4e0c-b41a-075a75a689b5,,,,,3,False,0.024414,6496,,purchase of mice and acceceries in govt schools,,1000000.0,3,True,0.008343,1139,S0154/21,purchase of mice and acceceries in govt schools,ഗവ സ്കൂളകല് മൈകും അനുബന്ധ ഉപകരണങ്ങളം,1000000.0,1,True,0.008541,1118,S0154/21,purchase of mice and acceceries in govt schools,ഗവ സ്കൂളുകൾക്ക് മൈക്കും അക്സസറീസ് ഉപകരണങ്ങളും,1000000.0,1,True,0.005124,992
5ee435b5-0f71-443a-822b-e3d2cfd05a74,,,,,3,False,0.029442,8172,,Ulthasserrilpadi - Challi Ela Road(Ezhamkulam Grama Panchayath ward-13),,1500000.0,3,True,0.008646,1240,S0125/22,Uthasserrilpadi - Chalil Ela Road (Ezhamkulam Grama Panchayath ward-13),ഉത്തശ്ശേരിൽപടി - ചാലിൽ ഏലാ റോഡ് (ഏഴംകുളം ഗ്രാമപഞ്ചായത്ത് വാർഡ് -13),1500000.0,1,True,0.009543,1519,S0125/22,Uthasserippadi - Challil Ela Road(Ezhamkulam Grama Panchayath ward-13),ഉത്തശ്ശേരിപ്പടി - ചാലിൽ ഏല റോഡ് (ഏഴംകുളം ഗ്രാമപഞ്ചായത്ത് വാർഡ്-13),1500000.0,1,True,0.004802,777
5f3414b4-8e64-4bb5-90a1-7f6de1de8fb2,,,,,4,False,0.069954,20052,,PATTANAKKAL KUTTIMANTH OORU DRAINAGE SIDE WALL PROTECTION,,1438000.0,4,True,0.018069,2757,S0235/23,PATTANAKKAL KUTTIMANTH OORU DRAINAGE SIDE WALL PROTECTION,പട്ടണക്കൽ കുട്ടിമന്ത ഊര് ഡ്രൈനേജ് സെറെഡ്കെട്ട്,1438000.0,1,True,0.016854,2144,S0235/23,PATTANAKKAL KUTTIMANTH OORU DRAINAGE SIDE WALL PROTECTION,പട്ടണക്കൽ കുറ്റിമന്ത് ഊര് ഡ്രെയിനേജ് സൈഡ് വാൾ സംരക്ഷണം,1438000.0,1,True,0.109136,67099
5fc20805-27f0-40f2-b245-dcb6dc0af1f0,,,,,3,False,0.026007,7027,,Chinnakkanal G.P Aanachaal B.M Ram road,,1000000.0,3,True,0.009129,1401,751,Chinnakkanal G.P Aanachaal B.M Ram road,2019-20 ചിന്നക്കനാൽ പഞ്ചായത്ത് ആനച്ചാൽ ബി. എൽ. റാം റോഡ്,1000000.0,1,True,0.174403,66697,S0751/20,Chinnakkanal G.P Aanachaal B.M Ram road,ചിന്നക്കനാൽ പഞ്ചായത്ത് ആനച്ചാൽ ബി. എൽ. രാം റോഡ്,1000000.0,1,True,0.004674,692
6005d56c-f075-4673-a513-e9cacab63ea8,,,,,7,False,0.03003,8368,,Retarring works to Gurunagappan kavu - Mavila Road in Ward-31,,,5,True,0.010017,1697,S0053/16,Retarring works to Gurunagappan kavu - Mavila Road in Ward-31,ഗുരുനാഗപ്പൻകാവ് - മാവിള റോഡ് റീടാറിംഗ് - വാർഡ് - 31,0.0,1,True,0.008356,1044,S0053/16,Retarring works to Gurunagappan kavu - Mavila Road in Ward-31,ഗുരുനപ്പൻ കാവ് - മാവില റോഡ് - വാർഡ്-31,376625.0,1,True,0.004592,637
60d7b041-55f6-42a9-a5b3-aa7337c07716,,,,,2,False,0.041953,11802,,,പദ്ധതി രൂപീകരണ നിർവ്വഹണ ചെലവ് (Plan Formulation Implementation),300000.0,3,True,0.011665,1706,S0001/25,Plan Formulation Implimentation,പദ്ധതി രൂപീകരണ നിർവ്വഹണ ചെലവ്,300000.0,1,True,0.010745,1234,S0001/25,Plan Formulation Implimentation,പദ്ധതി രൂപീകരണ നിർവ്വഹണ ചെലവ്,300000.0,1,True,0.006392,1030
610a8f65-857a-4190-bf81-f8a544d055fa,,,,,7,False,0.065773,18657,,HOUSEHOLD WATER CONNECTION (PIPE LINE-WATER AUTHORITY),,950000.0,8,True,0.018638,2945,S0025/21,HOUSEHOLD WATER CONNECTION (PIPE LINE-WATER AUTHORITY),ഗാർഹിക കുടിവെള്ള കണക്ഷൻ നൽകൽ (പൈപ്പ് ലൈൻ -വാട്ടർ അതോറിറ്റി ),1200000.0,1,True,0.016507,2004,S0025/21,HOUSEHOLD WATER CONNECTION (PIPE LINE-WATER AUTHORITY),വാർഷിക കുടിവെള്ള കണക്ഷൻ നൽകൽ (പൈപ്പ് ലൈൻ-വാട്ടർ അതോറിറ്റി),1200000.0,1,True,0.008974,1132
66365ef6-ab80-479e-af2e-01919476823b,,,,,4,False,0.028914,7996,,Vemom Colony Well Deepening,,200000.0,4,True,0.009846,1640,S0314/23,Vemom Colony Well Deepening,വേമം കോളനി കിണർ ആഴംകൂട്ടൽ,200000.0,1,True,0.008623,1151,S0314/23,Vemom Colony Well Deepening,വേമം കോളനി കിണർ ആഴംകൂട്ടൽ,200000.0,1,True,0.004782,764
67430561-fa0e-4457-bde9-f226e49b365a,,,,,28,False,0.075466,22430,,Palliative Care Homoeopathy,,,20,True,0.023068,4964,S0012/24,Paliative Care Homoeopathy,പാലിയേറ്റീവ് കെയർ ഹോമിയോപ്പതി,1500000.0,1,True,0.347603,133678,S0012/24,Palliative Care Homeopathy,പാലിയേറ്റീവ് കെയർ ഹോമിയോപ്പതി,1500000.0,1,True,0.007523,974
6b28405d-58ca-4f14-b725-2859b657b251,,,,,5,False,0.052935,14378,,BUILDING FOR ANASWARA LIBRARY MEPPADY,,870000.0,5,True,0.019224,3141,S0082/24,BUILDING FOR ANASWARA LIBRARY MEPPADY,അനശ്വര ഗ്രന്ഥശാല കെട്ടിടം നിർമ്മാണം,870000.0,1,True,0.016983,2195,S0082/24,BUILDING FOR ANASWARA LIBRARY MEPPADY,അനശ്വര ഗ്രന്ഥശാല കെട്ടിടം നിർമ്മാണം,870000.0,1,True,0.009527,1501
6da3e695-0412-479c-af58-5c5c9d8430bd,,,,,7,False,0.060921,17040,,Menstrual cup for women,,,10,True,0.019917,3372,S0092/25,Menstrual cup for wemen,വനിതകൾക്ക് മെൻസ്ട്രുവൽ കപ്പ് ലഭ്യമാക്കൽ,250000.0,1,True,0.015588,1637,S0092/25,Menstrual cup for wemen,വനിതകൾക്ക് മെൻസ്ട്രൽ കപ്പ് വിതരണം,250000.0,1,True,0.010169,1929
6dd85b39-0c87-4ea5-8f21-e29c72d3381b,,,,,5,False,0.065229,18477,,ARTISTIC AND CULTURAL TRAINING FOR CHILDREN,,500000.0,6,True,0.017274,2492,S1059/20,ARTISTIC AND CULTURAL TRAINING FOR CHILDREN,കുട്ടികൾക്ക് കലാ സാംസ്ക്കാരിക പരിശീലനം നൽകുന്നതിന്,500000.0,1,True,0.015169,1470,S1059/20,ARTISTIC AND CULTURAL TRAINING FOR CHILDREN,കുട്ടികൾക്ക് കലാ സാംസ്കാരിക പരിശീലനം നൽകുന്നത്,500000.0,1,True,0.010033,1839
6f97c075-ee0d-43a3-8ae1-f2b5e18e7c05,,,,,3,False,0.031432,8295,,Anayartholu Vayavasaya estate rennovation,,250000.0,3,True,0.011122,1525,S1319/17,Anayartholu Vayavasaya estate rennovation,അമ്പലത്തോളു വയവാസായ കെട്ടിടം പുനരുദ്ധാരണം,250000.0,1,True,0.01085,1276,S1319/17,Anayartholu Vayavasaya estate rennovation,അനയർതൊളു വായനശാല കേന്ദ്ര പുനരുദ്ധാരണം,250000.0,1,True,0.006451,1069
6fda6a3f-42a8-4ec2-9b8d-a6a547da4c74,,,,,6,False,0.056094,15431,,PEERUMEDU PANCHAYATH GHS PAMBANAR LIBRARY NIRMANAM,,1000000.0,6,True,0.019242,3147,S0266/21,PEERUMEDU PANCHAYATH GHS PAMBANAR LIBRARY NIRMANAM,പീരുമേട് പഞ്ചായത്ത് ജി എച്ച് എസ് പാമ്പനാർ ലൈബ്രററി നിർമ്മാണം,1000000.0,1,True,0.018191,2678,S0266/21,PEERUMEDU PANCHAYATH GHS PAMBANAR LIBRARY NIRMANAM,പീരുമേട് പഞ്ചായത്ത് ജി എച്ച് എസ് പമ്പാനാർ ലൈബ്രറി നിർമ്മാണം,1000000.0,1,True,0.009457,1454
77a40988-7ffb-4b6f-83fb-86b01e702749,,,,,7,False,0.084578,23843,,CONSTRUCTION OF SHE TOILET IN GUPS CHOKKAD,,500000.0,6,True,0.024809,3920,S0128/20,CONSTRUCTION OF SHE TOILET IN GUPS CHOKKAD,ജി.യു.പി.എസ് ചോക്കാട് ഷീ ടോയ് ലറ്റ്,500000.0,1,True,0.022083,2702,S0128/20,CONSTRUCTION OF SHE TOILET IN GUPS CHOKKAD,ജി.യു.പി.എസ് ചോക്കാട് ടോയ്‌ലറ്റ്,500000.0,1,True,0.013364,2442
